Sample ID,Location Code,MONTH,YEAR,Collection Date,Collection Date/Time,AMMONIA_W,CONDUCTIVITY_W,DO_W,FCB_W,NITRATE_W,NITRITE_W,ORTHOPHOSPHATE_W,PH_W,PHOSPHOROUS_W,TEMPERATURE_W,TKN_W,TN_W,TSS_W,TURBIDITY_W
AA12388,CAPR1,7,2016,7/6/2016,7/6/2016 8:30,0.0343,196.8,8.43,23,0.773,0.001,0.0649,7.45,0.863,22.2,,,9,6.07
AA12491,CAPR1,7,2016,7/11/2016,7/11/2016 9:10,0.015,220,,32,0.467,0.001,0.0575,7.61,0.197,21.2,,,0.59,2.7
AA12632,CAPR1,7,2016,7/14/2016,7/14/2016 8:15,0.0248,208.9,,70,0.475,0.001,0.059,7.42,0.203,23.1,,,5,3.68
AA12657,CAPR1,7,2016,7/18/2016,7/18/2016 8:30,0.0701,222,,42,0.495,0.001,0.045,7.79,0.06,23.2,,,6,3.01
AA12832,CAPR1,7,2016,7/25/2016,7/25/2016 8:08,0.004,212.1,,21,0.242,0.001,0.00839,7.69,0.281,23.4,,,5,3.03
AA12393,CAPR6,,,7/6/2016,7/6/2016 10:40,0.0498,170.7,8.43,9,0.364,0.001,0.0704,7.92,0.777,25.2,,,5,6.18
AA12394,CAPR7,,,7/6/2016,7/6/2016 11:13,0.0324,186.6,8.75,13,0.386,0.001,0.0639,7.88,0.73,23.9,,,5,4.61
AA12395,CAPR8,,,7/6/2016,7/6/2016 11:32,0.0594,163.8,7.94,54,0.269,0.001,0.0578,8.06,0.727,25.4,0.362,0.632,15,10
AA12953,CAPR1,8,2016,8/1/2016,8/1/2016 8:27,0.0779,173.4,8.88,28,0.565,0.001,0.112,7.74,0.238,23.2,,,12,19.7
AA13023,CAPR1,8,2016,8/8/2016,8/8/2016 8:55,0.004,233,,24,0.31,0.001,0.061,8,0.181,22,,,2,3.03
AA13177,CAPR1,8,2016,8/15/2016,8/15/2016 8:18,0.105,220,,19,0.347,0.001,0.0542,7.78,0.107,23.3,,,2,4.22
AA13265,CAPR1,8,2016,8/17/2016,8/17/2016 8:10,0.029,214.1,,12,0.436,0.001,0.0508,7.7,0.498,24.1,,,7,7.95
AA13367,CAPR1,8,2016,8/24/2016,8/24/2016 8:11,0.004,206.7,,5,0.305,0.001,0.0667,7.67,0.152,20.3,,,4,3.98
AA12496,CAPR6,,,7/11/2016,7/11/2016 11:22,0.0267,187.1,,25,0.16,0.001,0.0599,7.9,0.0741,23.9,,,0.59,3.58
AA12497,CAPR7,,,7/11/2016,7/11/2016 8:53,0.022,212,,54,0.192,0.001,0.0536,8.15,0.0876,23.5,,,4,3.83
